abnormal;abound,
blurry;cure-all,
blurs;cushy,
blurt;cute,
boastful;cuteness,
boggle;danke,
bogus;danken,
boil;daring,
boiling;daringly,
boisterous;darling,
bomb;dashing,
bombard;dauntless,
bombardment;dawn,
bombastic;dazzle,
bondage;dazzled,
bonkers;dazzling,
bore;dead-cheap,
bored;dead-on,
boredom;decency,
bores;decent,
boring;decisive,
botch;decisiveness,
bother;dedicated,
bothered;defeat,
bothering;defeated,
bothers;defeating,
bothersome;defeats,
bowdlerize;defender,
boycott;deference,
braggart;deft,
bragger;deginified,
brainless;delectable,
brainwash;delicacy,
brash;delicate,
brashly;delicious,
brashness;delight,
brat;delighted,
bravado;delightful,
brazen;delightfully,
brazenly;delightfulness,
brazenness;dependable,
breach;dependably,
break;deservedly,
break-up;deserving,
break-ups;desirable,
breakdown;desiring,
breaking;desirous,
breaks;destiny,
breakup;detachable,
breakups;devout,
bribery;dexterous,
brimstone;dexterously,
bristle;dextrous,
brittle;dignified,
broke;dignify,
broken;dignity,
broken-hearted;diligence,
brood;diligent,
browbeat;diligently,
bruise;diplomatic,
bruised;dirt-cheap,
bruises;distinction,
bruising;distinctive,
brusque;distinguished,
brutal;diversified,
brutalising;divine,
brutalities;divinely,
brutality;dominate,
brutalize;dominated,
brutalizing;dominates,
brutally;dote,
brute;dotingly,
brutish;doubtless,
bs;dreamland,
buckle;dumbfounded,
bug;dumbfounding,
bugging;dummy-proof,
buggy;durable,
bugs;dynamic,
bulkier;eager,
bulkiness;eagerly,
bulky;eagerness,
bulkyness;earnest,
bull****;earnestly,
bull----;earnestness,
bullies;ease,
bullshit;eased,
bullshyt;eases,
bully;easier,
bullying;easiest,
bullyingly;easiness,
bum;easing,
bump;easy,
bumped;easy-to-use,
bumping;easygoing,
bumpping;ebullience,
bumps;ebullient,
bumpy;ebulliently,
bungle;ecenomical,
bungler;economical,
bungling;ecstasies,
bunk;ecstasy,
burden;ecstatic,
burdensome;ecstatically,
burdensomely;edify,
burn;educated,
burned;effective,
burning;effectively,
burns;effectiveness,
bust;effectual,
busts;efficacious,
busybody;efficient,
butcher;efficiently,
butchery;effortless,
buzzing;effortlessly,
byzantine;effusion,
cackle;effusive,
calamities;effusively,
calamitous;effusiveness,
calamitously;elan,
calamity;elate,
callous;elated,
calumniate;elatedly,
calumniation;elation,
calumnies;electrify,
calumnious;elegance,
calumniously;elegant,
calumny;elegantly,
cancer;elevate,
cancerous;elite,
cannibal;eloquence,
cannibalize;eloquent,
capitulate;eloquently,
capricious;embolden,
capriciously;eminence,
capriciousness;eminent,
capsize;empathize,
careless;empathy,
carelessness;empower,
caricature;empowerment,
carnage;enchant,
carp;enchanted,
cartoonish;enchanting,
cash-strapped;enchantingly,
castigate;encourage,
castrated;encouragement,
casualty;encouraging,
cataclysm;encouragingly,
cataclysmal;endear,
cataclysmic;endearing,
cataclysmically;endorse,
catastrophe;endorsed,
catastrophes;endorsement,
catastrophic;endorses,
catastrophically;endorsing,
catastrophies;energetic,
caustic;energize,
caustically;energy-efficient,
cautionary;energy-saving,
cave;engaging,
censure;engrossing,
chafe;enhance,
chaff;enhanced,
chagrin;enhancement,
challenging;enhances,
chaos;enjoy,
chaotic;enjoyable,
chasten;enjoyably,
chastise;enjoyed,
chastisement;enjoying,
chatter;enjoyment,
chatterbox;enjoys,
cheap;enlighten,
cheapen;enlightenment,
cheaply;enliven,
cheat;ennoble,
cheated;enough,
cheater;enrapt,
cheating;enrapture,
cheats;enraptured,
checkered;enrich,
cheerless;enrichment,
cheesy;enterprising,
chide;entertain,
childish;entertaining,
chill;entertains,
chilly;enthral,
chintzy;enthrall,
choke;enthralled,
choleric;enthuse,
choppy;enthusiasm,
chore;enthusiast,
chronic;enthusiastic,
chunky;enthusiastically,
clamor;entice,
clamorous;enticed,
clash;enticing,
cliche;enticingly,
cliched;entranced,
clique;entrancing,
clog;entrust,
clogged;enviable,
clogs;enviably,
cloud;envious,
clouding;enviously,
cloudy;enviousness,
clueless;envy,
clumsy;equitable,
clunky;ergonomical,
coarse;err-free,
cocky;erudite,
coerce;ethical,
coercion;eulogize,
coercive;euphoria,
cold;euphoric,
coldly;euphorically,
collapse;evaluative,
collude;evenly,
collusion;eventful,
combative;everlasting,
combust;evocative,
comical;exalt,
commiserate;exaltation,
commonplace;exalted,
commotion;exaltedly,
commotions;exalting,
complacent;exaltingly,
complain;examplar,
complained;examplary,
complaining;excallent,
complains;exceed,
complaint;exceeded,
complaints;exceeding,
complex;exceedingly,
complicated;exceeds,
complication;excel,
complicit;exceled,
compulsion;excelent,
compulsive;excellant,
concede;excelled,
conceded;excellence,
conceit;excellency,
conceited;excellent,
concen;excellently,
concens;excels,
concern;exceptional,
concerned;exceptionally,
concerns;excite,
concession;excited,
concessions;excitedly,
condemn;excitedness,
condemnable;excitement,
condemnation;excites,
condemned;exciting,
condemns;excitingly,
condescend;exellent,
condescending;exemplar,
condescendingly;exemplary,
condescension;exhilarate,
confess;exhilarating,
confession;exhilaratingly,
confessions;exhilaration,
confined;exonerate,
conflict;expansive,
conflicted;expeditiously,
conflicting;expertly,
conflicts;exquisite,
confound;exquisitely,
confounded;extol,
confounding;extoll,
confront;extraordinarily,
confrontation;extraordinary,
confrontational;exuberance,
confuse;exuberant,
confused;exuberantly,
confuses;exult,
confusing;exultant,
confusion;exultation,
confusions;exultingly,
congested;eye-catch,
congestion;eye-catching,
cons;eyecatch,
conscons;eyecatching,
conservative;fabulous,
conspicuous;fabulously,
conspicuously;facilitate,
conspiracies;fair,
conspiracy;fairly,
conspirator;fairness,
conspiratorial;faith,
conspire;faithful,
consternation;faithfully,
contagious;faithfulness,
contaminate;fame,
contaminated;famed,
contaminates;famous,
contaminating;famously,
contamination;fancier,
contempt;fancinating,
contemptible;fancy,
contemptuous;fanfare,
contemptuously;fans,
contend;fantastic,
contention;fantastically,
contentious;fascinate,
contort;fascinating,
contortions;fascinatingly,
contradict;fascination,
contradiction;fashionable,
contradictory;fashionably,
contrariness;fast,
contravene;fast-growing,
contrive;fast-paced,
contrived;faster,
controversial;fastest,
controversy;fastest-growing,
convoluted;faultless,
corrode;fav,
corrosion;fave,
corrosions;favor,
corrosive;favorable,
corrupt;favored,
corrupted;favorite,
corrupting;favorited,
corruption;favour,
corrupts;fearless,
corruptted;fearlessly,
costlier;feasible,
costly;feasibly,
counter-productive;feat,
counterproductive;feature-rich,
coupists;fecilitous,
covetous;feisty,
coward;felicitate,
cowardly;felicitous,
crabby;felicity,
crack;fertile,
cracked;fervent,
cracks;fervently,
craftily;fervid,
craftly;fervidly,
crafty;fervor,
cramp;festive,
cramped;fidelity,
cramping;fiery,
cranky;fine,
crap;fine-looking,
crappy;finely,
craps;finer,
crash;finest,
crashed;firmer,
crashes;first-class,
crashing;first-in-class,
crass;first-rate,
craven;flashy,
cravenly;flatter,
craze;flattering,
crazily;flatteringly,
craziness;flawless,
crazy;flawlessly,
creak;flexibility,
creaking;flexible,
creaks;flourish,
credulous;flourishing,
creep;fluent,
creeping;flutter,
creeps;fond,
creepy;fondly,
crept;fondness,
crime;foolproof,
criminal;foremost,
cringe;foresight,
cringed;formidable,
cringes;fortitude,
cripple;fortuitous,
crippled;fortuitously,
cripples;fortunate,
crippling;fortunately,
crisis;fortune,
critic;fragrant,
critical;free,
criticism;freed,
criticisms;freedom,
criticize;freedoms,
criticized;fresh,
criticizing;fresher,
critics;freshest,
cronyism;friendliness,
crook;friendly,
crooked;frolic,
crooks;frugal,
crowded;fruitful,
crowdedness;ftw,
crude;fulfillment,
cruel;fun,
crueler;futurestic,
cruelest;futuristic,
cruelly;gaiety,
cruelness;gaily,
cruelties;gain,
cruelty;gained,
crumble;gainful,
crumbling;gainfully,
crummy;gaining,
crumple;gains,
crumpled;gallant,
crumples;gallantly,
crush;galore,
crushed;geekier,
crushing;geeky,
cry;gem,
culpable;gems,
culprit;generosity,
cumbersome;generous,
cunt;generously,
cunts;genial,
cuplrit;genius,
curse;gentle,
cursed;gentlest,
curses;genuine,
curt;gifted,
cuss;glad,
cussed;gladden,
cutthroat;gladly,
cynical;gladness,
cynicism;glamorous,
d*mn;glee,
damage;gleeful,
damaged;gleefully,
damages;glimmer,
damaging;glimmering,
damn;glisten,
damnable;glistening,
damnably;glitter,
damnation;glitz,
damned;glorify,
damning;glorious,
damper;gloriously,
danger;glory,
dangerous;glow,
dangerousness;glowing,
dark;glowingly,
darken;god-given,
darkened;god-send,
darker;godlike,
darkness;godsend,
dastard;gold,
dastardly;golden,
daunt;good,
daunting;goodly,
dauntingly;goodness,
dawdle;goodwill,
daze;goood,
dazed;gooood,
dead;gorgeous,
deadbeat;gorgeously,
deadlock;grace,
deadly;graceful,
deadweight;gracefully,
deaf;gracious,
dearth;graciously,
death;graciousness,
debacle;grand,
debase;grandeur,
debasement;grateful,
debaser;gratefully,
debatable;gratification,
debauch;gratified,
debaucher;gratifies,
debauchery;gratify,
debilitate;gratifying,
debilitating;gratifyingly,
debility;gratitude,
debt;great,
debts;greatest,
decadence;greatness,
decadent;grin,
decay;groundbreaking,
decayed;guarantee,
deceit;guidance,
deceitful;guiltless,
deceitfully;gumption,
deceitfulness;gush,
deceive;gusto,
deceiver;gutsy,
deceivers;hail,
deceiving;halcyon,
deception;hale,
deceptive;hallmark,
deceptively;hallmarks,
declaim;hallowed,
decline;handier,
declines;handily,
declining;hands-down,
decrement;handsome,
decrepit;handsomely,
decrepitude;handy,
decry;happier,
defamation;happily,
defamations;happiness,
defamatory;happy,
defame;hard-working,
defect;hardier,
defective;hardy,
defects;harmless,
defensive;harmonious,
defiance;harmoniously,
defiant;harmonize,
defiantly;harmony,
deficiencies;headway,
deficiency;heal,
deficient;healthful,
defile;healthy,
defiler;hearten,
deform;heartening,
deformed;heartfelt,
defrauding;heartily,
defunct;heartwarming,
defy;heaven,
degenerate;heavenly,
degenerately;helped,
degeneration;helpful,
degradation;helping,
degrade;hero,
degrading;heroic,
degradingly;heroically,
dehumanization;heroine,
dehumanize;heroize,
deign;heros,
deject;high-quality,
dejected;high-spirited,
dejectedly;hilarious,
dejection;holy,
delay;homage,
delayed;honest,
delaying;honesty,
delays;honor,
delinquency;honorable,
delinquent;honored,
delirious;honoring,
delirium;hooray,
delude;hopeful,
deluded;hospitable,
deluge;hot,
delusion;hotcake,
delusional;hotcakes,
delusions;hottest,
demean;hug,
demeaning;humane,
demise;humble,
demolish;humility,
demolisher;humor,
demon;humorous,
demonic;humorously,
demonize;humour,
demonized;humourous,
demonizes;ideal,
demonizing;idealize,
demoralize;ideally,
demoralizing;idol,
demoralizingly;idolize,
denial;idolized,
denied;idyllic,
denies;illuminate,
denigrate;illuminati,
denounce;illuminating,
dense;illumine,
dent;illustrious,
dented;ilu,
dents;imaculate,
denunciate;imaginative,
denunciation;immaculate,
denunciations;immaculately,
deny;immense,
denying;impartial,
deplete;impartiality,
deplorable;impartially,
deplorably;impassioned,
deplore;impeccable,
deploring;impeccably,
deploringly;important,
deprave;impress,
depraved;impressed,
depravedly;impresses,
deprecate;impressive,
depress;impressively,
depressed;impressiveness,
depressing;improve,
depressingly;improved,
depression;improvement,
depressions;improvements,
deprive;improves,
deprived;improving,
deride;incredible,
derision;incredibly,
derisive;indebted,
derisively;individualized,
derisiveness;indulgence,
derogatory;indulgent,
desecrate;industrious,
desert;inestimable,
desertion;inestimably,
desiccate;inexpensive,
desiccated;infallibility,
desititute;infallible,
desolate;infallibly,
desolately;influential,
desolation;ingenious,
despair;ingeniously,
despairing;ingenuity,
despairingly;ingenuous,
desperate;ingenuously,
desperately;innocuous,
desperation;innovation,
despicable;innovative,
despicably;inpressed,
despise;insightful,
despised;insightfully,
despoil;inspiration,
despoiler;inspirational,
despondence;inspire,
despondency;inspiring,
despondent;instantly,
despondently;instructive,
despot;instrumental,
despotic;integral,
despotism;integrated,
destabilisation;intelligence,
destains;intelligent,
destitute;intelligible,
destitution;interesting,
destroy;interests,
destroyer;intimacy,
destruction;intimate,
destructive;intricate,
desultory;intrigue,
deter;intriguing,
deteriorate;intriguingly,
deteriorating;intuitive,
deterioration;invaluable,
deterrent;invaluablely,
detest;inventive,
detestable;invigorate,
detestably;invigorating,
detested;invincibility,
detesting;invincible,
detests;inviolable,
detract;inviolate,
detracted;invulnerable,
detracting;irreplaceable,
detraction;irreproachable,
detracts;irresistible,
detriment;irresistibly,
detrimental;issue-free,
devastate;jaw-droping,
devastated;jaw-dropping,
devastates;jollify,
devastating;jolly,
devastatingly;jovial,
devastation;joy,
deviate;joyful,
deviation;joyfully,
devil;joyous,
devilish;joyously,
devilishly;jubilant,
devilment;jubilantly,
devilry;jubilate,
devious;jubilation,
deviously;jubiliant,
deviousness;judicious,
devoid;justly,
diabolic;keen,
diabolical;keenly,
diabolically;keenness,
diametrically;kid-friendly,
diappointed;kindliness,
diatribe;kindly,
diatribes;kindness,
dick;knowledgeable,
dictator;kudos,
dictatorial;large-capacity,
die;laud,
die-hard;laudable,
died;laudably,
dies;lavish,
difficult;lavishly,
difficulties;law-abiding,
difficulty;lawful,
diffidence;lawfully,
dilapidated;lead,
dilemma;leading,
dilly-dally;leads,
dim;lean,
dimmer;led,
din;legendary,
ding;leverage,
dings;levity,
dinky;liberate,
dire;liberation,
direly;liberty,
direness;lifesaver,
dirt;light-hearted,
dirtbag;lighter,
dirtbags;likable,
dirts;like,
dirty;liked,
disable;likes,
disabled;liking,
disaccord;lionhearted,
disadvantage;lively,
disadvantaged;logical,
disadvantageous;long-lasting,
disadvantages;lovable,
disaffect;lovably,
disaffected;love,
disaffirm;loved,
disagree;loveliness,
disagreeable;lovely,
disagreeably;lover,
disagreed;loves,
disagreeing;loving,
disagreement;low-cost,
disagrees;low-price,
disallow;low-priced,
disapointed;low-risk,
disapointing;lower-priced,
disapointment;loyal,
disappoint;loyalty,
disappointed;lucid,
disappointing;lucidly,
disappointingly;luck,
disappointment;luckier,
disappointments;luckiest,
disappoints;luckiness,
disapprobation;lucky,
disapproval;lucrative,
disapprove;luminous,
disapproving;lush,
disarm;luster,
disarray;lustrous,
disaster;luxuriant,
disasterous;luxuriate,
disastrous;luxurious,
disastrously;luxuriously,
disavow;luxury,
disavowal;lyrical,
disbelief;magic,
disbelieve;magical,
disbeliever;magnanimous,
disclaim;magnanimously,
discombobulate;magnificence,
discomfit;magnificent,
discomfititure;magnificently,
discomfort;majestic,
discompose;majesty,
disconcert;manageable,
disconcerted;maneuverable,
disconcerting;marvel,
disconcertingly;marveled,
disconsolate;marvelled,
disconsolately;marvellous,
disconsolation;marvelous,
discontent;marvelously,
discontented;marvelousness,
discontentedly;marvels,
discontinued;master,
discontinuity;masterful,
discontinuous;masterfully,
discord;masterpiece,
discordance;masterpieces,
discordant;masters,
discountenance;mastery,
discourage;matchless,
discouragement;mature,
discouraging;maturely,
discouragingly;maturity,
discourteous;meaningful,
discourteously;memorable,
discoutinous;merciful,
discredit;mercifully,
discrepant;mercy,
discriminate;merit,
discrimination;meritorious,
discriminatory;merrily,
disdain;merriment,
disdained;merriness,
disdainful;merry,
disdainfully;mesmerize,
disfavor;mesmerized,
disgrace;mesmerizes,
disgraced;mesmerizing,
disgraceful;mesmerizingly,
disgracefully;meticulous,
disgruntle;meticulously,
disgruntled;mightily,
disgust;mighty,
disgusted;mind-blowing,
disgustedly;miracle,
disgustful;miracles,
disgustfully;miraculous,
disgusting;miraculously,
disgustingly;miraculousness,
dishearten;modern,
disheartening;modest,
dishearteningly;modesty,
dishonest;momentous,
dishonestly;monumental,
dishonesty;monumentally,
dishonor;morality,
dishonorable;motivated,
dishonorablely;multi-purpose,
disillusion;navigable,
disillusioned;neat,
disillusionment;neatest,
disillusions;neatly,
disinclination;nice,
disinclined;nicely,
disingenuous;nicer,
disingenuously;nicest,
disintegrate;nifty,
disintegrated;nimble,
disintegrates;noble,
disintegration;nobly,
disinterest;noiseless,
disinterested;non-violence,
dislike;non-violent,
disliked;notably,
dislikes;noteworthy,
disliking;nourish,
dislocated;nourishing,
disloyal;nourishment,
disloyalty;novelty,
dismal;nurturing,
dismally;oasis,
dismalness;obsession,
dismay;obsessions,
dismayed;obtainable,
dismaying;openly,
dismayingly;openness,
dismissive;optimal,
dismissively;optimism,
disobedience;optimistic,
disobedient;opulent,
disobey;orderly,
disoobedient;originality,
disorder;outdo,
disordered;outdone,
disorderly;outperform,
disorganized;outperformed,
disorient;outperforming,
disoriented;outperforms,
disown;outshine,
disparage;outshone,
disparaging;outsmart,
disparagingly;outstanding,
dispensable;outstandingly,
dispirit;outstrip,
dispirited;outwit,
dispiritedly;ovation,
dispiriting;overjoyed,
displace;overtake,
displaced;overtaken,
displease;overtakes,
displeased;overtaking,
displeasing;overtook,
displeasure;overture,
disproportionate;pain-free,
disprove;painless,
disputable;painlessly,
dispute;palatial,
disputed;pamper,
disquiet;pampered,
disquieting;pamperedly,
disquietingly;pamperedness,
disquietude;pampers,
disregard;panoramic,
disregardful;paradise,
disreputable;paramount,
disrepute;pardon,
disrespect;passion,
disrespectable;passionate,
disrespectablity;passionately,
disrespectful;patience,
disrespectfully;patient,
disrespectfulness;patiently,
disrespecting;patriot,
disrupt;patriotic,
disruption;peace,
disruptive;peaceable,
diss;peaceful,
dissapointed;peacefully,
dissappointed;peacekeepers,
dissappointing;peach,
dissatisfaction;peerless,
dissatisfactory;pep,
dissatisfied;pepped,
dissatisfies;pepping,
dissatisfy;peppy,
dissatisfying;peps,
dissed;perfect,
dissemble;perfection,
dissembler;perfectly,
dissension;permissible,
dissent;perseverance,
dissenter;persevere,
dissention;personages,
disservice;personalized,
disses;phenomenal,
dissidence;phenomenally,
dissident;picturesque,
dissidents;piety,
dissing;pinnacle,
dissocial;playful,
dissolute;playfully,
dissolution;pleasant,
dissonance;pleasantly,
dissonant;pleased,
dissonantly;pleases,
dissuade;pleasing,
dissuasive;pleasingly,
distains;pleasurable,
distaste;pleasurably,
distasteful;pleasure,
distastefully;plentiful,
distort;pluses,
distorted;plush,
distortion;plusses,
distorts;poetic,
distract;poeticize,
distracting;poignant,
distraction;poise,
distraught;poised,
distraughtly;polished,
distraughtness;polite,
distress;politeness,
distressed;popular,
distressing;portable,
distressingly;posh,
distrust;positive,
distrustful;positively,
distrusting;positives,
disturb;powerful,
disturbance;powerfully,
disturbed;praise,
disturbing;praiseworthy,
disturbingly;praising,
disunity;pre-eminent,
disvalue;precious,
divergent;precise,
divisive;precisely,
divisively;preeminent,
divisiveness;prefer,
dizzing;preferable,
dizzingly;preferably,
dizzy;prefered,
doddering;preferes,
dodgey;preferring,
dogged;prefers,
doggedly;premier,
dogmatic;prestige,
doldrums;prestigious,
domineer;prettily,
domineering;pretty,
donside;priceless,
doom;pride,
doomed;principled,
doomsday;privilege,
dope;privileged,
doubt;prize,
doubtful;proactive,
doubtfully;problem-free,
doubts;problem-solver,
douchbag;prodigious,
douchebag;prodigiously,
douchebags;prodigy,
downbeat;productive,
downcast;productively,
downer;proficient,
downfall;proficiently,
downfallen;profound,
downgrade;profoundly,
downhearted;profuse,
downheartedly;profusion,
downhill;progress,
downside;progressive,
downsides;prolific,
downturn;prominence,
downturns;prominent,
drab;promise,
draconian;promised,
draconic;promises,
drag;promising,
dragged;promoter,
dragging;prompt,
dragoon;promptly,
drags;proper,
drain;properly,
drained;propitious,
draining;propitiously,
drains;pros,
drastic;prosper,
drastically;prosperity,
drawback;prosperous,
drawbacks;prospros,
dread;protect,
dreadful;protection,
dreadfully;protective,
dreadfulness;proud,
dreary;proven,
dripped;proves,
dripping;providence,
drippy;proving,
drips;prowess,
drones;prudence,
droop;prudent,
droops;prudently,
drop-out;punctual,
drop-outs;pure,
dropout;purify,
dropouts;purposeful,
drought;quaint,
drowning;qualified,
drunk;qualify,
drunkard;quicker,
drunken;quiet,
dubious;quieter,
dubiously;radiance,
dubitable;radiant,
dud;rapid,
dull;rapport,
dullard;rapt,
dumb;rapture,
dumbfound;raptureous,
dump;raptureously,
dumped;rapturous,
dumping;rapturously,
dumps;rational,
dunce;razor-sharp,
dungeon;reachable,
dungeons;readable,
dupe;readily,
dust;ready,
dusty;reaffirm,
dwindling;reaffirmation,
dying;realistic,
earsplitting;realizable,
eccentric;reasonable,
eccentricity;reasonably,
effigy;reasoned,
effrontery;reassurance,
egocentric;reassure,
egomania;receptive,
egotism;reclaim,
egotistical;recomend,
egotistically;recommend,
egregious;recommendation,
egregiously;recommendations,
election-rigger;recommended,
elimination;reconcile,
